First Name	Last Name	Email	Campus	ID
Cannon	Hendrix	Cannon.Hendrix@yahoo.com	Auckland, Wellington, Christchurch	100
Zhuri	Chambers	Zhuri.Chambers@yahoo.com	Auckland, Wellington, Christchurch	101
Orion	Beasley	Orion.Beasley@yahoo.com	Auckland, Wellington, Christchurch	102
Jaylah	Fleming	Jaylah.Fleming@yahoo.com	Auckland, Wellington, Christchurch	103
Fernando	Andersen	Fernando.Andersen@yahoo.com	Auckland, Wellington, Christchurch	104
Zoie	Watkins	Zoie.Watkins@yahoo.com	Auckland, Wellington, Christchurch	105
Nash	Hammond	Nash.Hammond@yahoo.com	Auckland, Wellington, Christchurch	106
Holly	Ballard	Holly.Ballard@yahoo.com	Auckland, Wellington, Christchurch	107
Kenzo	Hebert	Kenzo.Hebert@yahoo.com	Auckland, Wellington, Christchurch	108
Kyleigh	Bernard	Kyleigh.Bernard@yahoo.com	Auckland, Wellington, Christchurch	109
Jair	Farrell	Jair.Farrell@yahoo.com	Auckland, Wellington, Christchurch	110
Kassidy	Ward	Kassidy.Ward@yahoo.com	Auckland, Wellington, Christchurch	111
Jameson	Francis	Jameson.Francis@yahoo.com	Auckland, Wellington, Christchurch	112
Daniella	McDowell	Daniella.McDowell@yahoo.com	Auckland, Wellington, Christchurch	113
Lachlan	Avila	Lachlan.Avila@yahoo.com	Auckland, Wellington, Christchurch	114
Amiyah	Lee	Amiyah.Lee@yahoo.com	Auckland, Wellington, Christchurch	115
Jack	Chambers	Jack.Chambers@yahoo.com	Auckland, Wellington, Christchurch	116
Makayla	Cano	Makayla.Cano@yahoo.com	Auckland, Wellington, Christchurch	117
Terry	Kim	Terry.Kim@yahoo.com	Auckland, Wellington, Christchurch	118
Gabriella	Foley	Gabriella.Foley@yahoo.com	Auckland, Wellington, Christchurch	119
Mohammad	Wilcox	Mohammad.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	120
Ashlyn	Bond	Ashlyn.Bond@yahoo.com	Auckland, Wellington, Christchurch	121
Roger	Watts	Roger.Watts@yahoo.com	Auckland, Wellington, Christchurch	122
Melissa	Everett	Melissa.Everett@yahoo.com	Auckland, Wellington, Christchurch	123
Camilo	Edwards	Camilo.Edwards@yahoo.com	Auckland, Wellington, Christchurch	124
Ivy	Randolph	Ivy.Randolph@yahoo.com	Auckland, Wellington, Christchurch	125
Eugene	Crosby	Eugene.Crosby@yahoo.com	Auckland, Wellington, Christchurch	126
Keily	Haley	Keily.Haley@yahoo.com	Auckland, Wellington, Christchurch	127
Leif	Marin	Leif.Marin@yahoo.com	Auckland, Wellington, Christchurch	128
Celia	English	Celia.English@yahoo.com	Auckland, Wellington, Christchurch	129
Junior	McClure	Junior.McClure@yahoo.com	Auckland, Wellington, Christchurch	130
Estella	O’Connell	Estella.O’Connell@yahoo.com	Auckland, Wellington, Christchurch	131
Jovanni	Day	Jovanni.Day@yahoo.com	Auckland, Wellington, Christchurch	132
Hayden	Rich	Hayden.Rich@yahoo.com	Auckland, Wellington, Christchurch	133
Miller	Calderon	Miller.Calderon@yahoo.com	Auckland, Wellington, Christchurch	134
Serena	Bautista	Serena.Bautista@yahoo.com	Auckland, Wellington, Christchurch	135
Raul	Schmitt	Raul.Schmitt@yahoo.com	Auckland, Wellington, Christchurch	136
Queen	Hamilton	Queen.Hamilton@yahoo.com	Auckland, Wellington, Christchurch	137
Jason	Hudson	Jason.Hudson@yahoo.com	Auckland, Wellington, Christchurch	138
Kamila	Murphy	Kamila.Murphy@yahoo.com	Auckland, Wellington, Christchurch	139
Cameron	Reyes	Cameron.Reyes@yahoo.com	Auckland, Wellington, Christchurch	140
Audrey	Cantu	Audrey.Cantu@yahoo.com	Auckland, Wellington, Christchurch	141
Anakin	Arias	Anakin.Arias@yahoo.com	Auckland, Wellington, Christchurch	142
Aleah	Turner	Aleah.Turner@yahoo.com	Auckland, Wellington, Christchurch	143
Joshua	Wilcox	Joshua.Wilcox@yahoo.com	Auckland, Wellington, Christchurch	144
Ashlyn	Sierra	Ashlyn.Sierra@yahoo.com	Auckland, Wellington, Christchurch	145
Dayton	McKinney	Dayton.McKinney@yahoo.com	Auckland, Wellington, Christchurch	146
Gwendolyn	Harvey	Gwendolyn.Harvey@yahoo.com	Auckland, Wellington, Christchurch	147
Cayden	Acosta	Cayden.Acosta@yahoo.com	Auckland, Wellington, Christchurch	148
Kaia	Mullen	Kaia.Mullen@yahoo.com	Auckland, Wellington, Christchurch	149
Shepard	Welch	Shepard.Welch@yahoo.com	Auckland, Wellington, Christchurch	150
Amira	Conway	Amira.Conway@yahoo.com	Auckland, Wellington, Christchurch	151
Orlando	Miller	Orlando.Miller@yahoo.com	Auckland, Wellington, Christchurch	152
Isabella	Yoder	Isabella.Yoder@yahoo.com	Auckland, Wellington, Christchurch	153
Johan	Sutton	Johan.Sutton@yahoo.com	Auckland, Wellington, Christchurch	154
Izabella	Little	Izabella.Little@yahoo.com	Auckland, Wellington, Christchurch	155
Lennox	Patterson	Lennox.Patterson@yahoo.com	Auckland, Wellington, Christchurch	156
Kaylee	Blankenship	Kaylee.Blankenship@yahoo.com	Auckland, Wellington, Christchurch	157
Ernesto	Aguilar	Ernesto.Aguilar@yahoo.com	Auckland, Wellington, Christchurch	158
Josie	Jacobs	Josie.Jacobs@yahoo.com	Auckland, Wellington, Christchurch	159
Bryan	Barton	Bryan.Barton@yahoo.com	Auckland, Wellington, Christchurch	160
Danna	Compton	Danna.Compton@yahoo.com	Auckland, Wellington, Christchurch	161
Abner	Ramirez	Abner.Ramirez@yahoo.com	Auckland, Wellington, Christchurch	162
Grace	Marquez	Grace.Marquez@yahoo.com	Auckland, Wellington, Christchurch	163
Malakai	Beck	Malakai.Beck@yahoo.com	Auckland, Wellington, Christchurch	164
Gia	Truong	Gia.Truong@yahoo.com	Auckland, Wellington, Christchurch	165
Ayan	Swanson	Ayan.Swanson@yahoo.com	Auckland, Wellington, Christchurch	166
Helen	Patton	Helen.Patton@yahoo.com	Auckland, Wellington, Christchurch	167
Moises	Pitts	Moises.Pitts@yahoo.com	Auckland, Wellington, Christchurch	168
Nala	Ramos	Nala.Ramos@yahoo.com	Auckland, Wellington, Christchurch	169
Angel	Mullen	Angel.Mullen@yahoo.com	Auckland, Wellington, Christchurch	170
Shay	Parra	Shay.Parra@yahoo.com	Auckland, Wellington, Christchurch	171
Davion	Lindsey	Davion.Lindsey@yahoo.com	Auckland, Wellington, Christchurch	172
Colette	Reese	Colette.Reese@yahoo.com	Auckland, Wellington, Christchurch	173
Alijah	Lugo	Alijah.Lugo@yahoo.com	Auckland, Wellington, Christchurch	174
Kaylie	York	Kaylie.York@yahoo.com	Auckland, Wellington, Christchurch	175
Leandro	Norton	Leandro.Norton@yahoo.com	Auckland, Wellington, Christchurch	176
Kylee	Ayala	Kylee.Ayala@yahoo.com	Auckland, Wellington, Christchurch	177
Tanner	Scott	Tanner.Scott@yahoo.com	Auckland, Wellington, Christchurch	178
Aurora	Person	Aurora.Person@yahoo.com	Auckland, Wellington, Christchurch	179
Moses	Jennings	Moses.Jennings@yahoo.com	Auckland, Wellington, Christchurch	180
Palmer	Russo	Palmer.Russo@yahoo.com	Auckland, Wellington, Christchurch	181
Jamie	Guevara	Jamie.Guevara@yahoo.com	Auckland, Wellington, Christchurch	182
Teresa	Burns	Teresa.Burns@yahoo.com	Auckland, Wellington, Christchurch	183
August	Harmon	August.Harmon@yahoo.com	Auckland, Wellington, Christchurch	184
Maren	Hutchinson	Maren.Hutchinson@yahoo.com	Auckland, Wellington, Christchurch	185
Korbin	Alfaro	Korbin.Alfaro@yahoo.com	Auckland, Wellington, Christchurch	186
Yasmin	Tate	Yasmin.Tate@yahoo.com	Auckland, Wellington, Christchurch	187
Dalton	Bennett	Dalton.Bennett@yahoo.com	Auckland, Wellington, Christchurch	188
Josephine	Vo	Josephine.Vo@yahoo.com	Auckland, Wellington, Christchurch	189
Gordon	Molina	Gordon.Molina@yahoo.com	Auckland, Wellington, Christchurch	190
