firstname,lastname,age,campus,qualification,email,id
Robert,Smith,32,Dunedin,,Robert.Smith@lecturer.whitecliffe.ac.nz,RobSmi_WHITECLIFFE
Donna,Baker,56,Wellington,,Donna.Baker@lecturer.whitecliffe.ac.nz,DonBak_WHITECLIFFE
Carolyn,Richards,20,Hamilton,,Carolyn.Richards@lecturer.whitecliffe.ac.nz,CarRic_WHITECLIFFE
Jack,Stevens,38,Auckland,,Jack.Stevens@lecturer.whitecliffe.ac.nz,JacSte_WHITECLIFFE
Heather,Bowers,38,Hamilton,,Heather.Bowers@lecturer.whitecliffe.ac.nz,HeaBow_WHITECLIFFE
Laura,Stephenson,20,Christchurch,,Laura.Stephenson@lecturer.whitecliffe.ac.nz,LauSte_WHITECLIFFE
Andrea,Boyd,25,Wellington,,Andrea.Boyd@lecturer.whitecliffe.ac.nz,AndBoy_WHITECLIFFE
Denise,King,40,Auckland,,Denise.King@lecturer.whitecliffe.ac.nz,DenKin_WHITECLIFFE
Kathleen,Brown,64,Christchurch,,Kathleen.Brown@lecturer.whitecliffe.ac.nz,KatBro_WHITECLIFFE
William,Arroyo,48,Auckland,,William.Arroyo@lecturer.whitecliffe.ac.nz,WilArr_WHITECLIFFE
Steven,James,24,Christchurch,,Steven.James@lecturer.whitecliffe.ac.nz,SteJam_WHITECLIFFE
Christopher,Hammond,62,Auckland,,Christopher.Hammond@lecturer.whitecliffe.ac.nz,ChrHam_WHITECLIFFE
Crystal,Wilkins,42,Auckland,,Crystal.Wilkins@lecturer.whitecliffe.ac.nz,CryWil_WHITECLIFFE
Amanda,Brown,55,Hamilton,,Amanda.Brown@lecturer.whitecliffe.ac.nz,AmaBro_WHITECLIFFE
Ernest,Miranda,39,Dunedin,,Ernest.Miranda@lecturer.whitecliffe.ac.nz,ErnMir_WHITECLIFFE
Matthew,Morton,50,Dunedin,,Matthew.Morton@lecturer.whitecliffe.ac.nz,MatMor_WHITECLIFFE
Christine,Sellers,35,Christchurch,,Christine.Sellers@lecturer.whitecliffe.ac.nz,ChrSel_WHITECLIFFE
Michelle,Wall,37,Auckland,,Michelle.Wall@lecturer.whitecliffe.ac.nz,MicWal_WHITECLIFFE
Shannon,Burch,42,Wellington,,Shannon.Burch@lecturer.whitecliffe.ac.nz,ShaBur_WHITECLIFFE
Nicole,Gordon,33,Dunedin,,Nicole.Gordon@lecturer.whitecliffe.ac.nz,NicGor_WHITECLIFFE
Mathew,Parker,36,Auckland,,Mathew.Parker@lecturer.whitecliffe.ac.nz,MatPar_WHITECLIFFE
Kimberly,Hamilton,47,Auckland,,Kimberly.Hamilton@lecturer.whitecliffe.ac.nz,KimHam_WHITECLIFFE
Elizabeth,Freeman,40,Auckland,,Elizabeth.Freeman@lecturer.whitecliffe.ac.nz,EliFre_WHITECLIFFE
Joseph,Hernandez,50,Auckland,,Joseph.Hernandez@lecturer.whitecliffe.ac.nz,JosHer_WHITECLIFFE
Derek,Green,30,Christchurch,,Derek.Green@lecturer.whitecliffe.ac.nz,DerGre_WHITECLIFFE
Jerry,Acosta,28,Auckland,,Jerry.Acosta@lecturer.whitecliffe.ac.nz,JerAco_WHITECLIFFE
Thomas,Paul,38,Christchurch,,Thomas.Paul@lecturer.whitecliffe.ac.nz,ThoPau_WHITECLIFFE
Melissa,Atkinson,31,Wellington,,Melissa.Atkinson@lecturer.whitecliffe.ac.nz,MelAtk_WHITECLIFFE
Monica,Lambert,23,Auckland,,Monica.Lambert@lecturer.whitecliffe.ac.nz,MonLam_WHITECLIFFE
Gregg,Hebert,22,Christchurch,,Gregg.Hebert@lecturer.whitecliffe.ac.nz,GreHeb_WHITECLIFFE
Christine,Willis,42,Wellington,,Christine.Willis@lecturer.whitecliffe.ac.nz,ChrWil_WHITECLIFFE
Lisa,Mosley,39,Auckland,,Lisa.Mosley@lecturer.whitecliffe.ac.nz,LisMos_WHITECLIFFE
